,pstation,p_Abetment of suicide,p_Causing hurt-Criminal intimidation-wrong restraint,p_Causing hurt-mischief-wrong restraint,p_Causing hurt-wrong restraint,p_Concealment of birth,p_Criminal breach of trust,p_Criminal breach of trust-cheating,p_Criminal intimidation,p_Disobedience to pub. Serv. Order,p_Disobedience to pub. Serv. Order-hurting public servant,p_Kidnapping,p_Negligence conduct,p_Negligence conduct-Negligent conduct,p_Negligent conduct,p_Negligent conduct-endangering safety of others,p_Negligent conduct-public nuisance,p_Others,p_Rape,p_Rash driving,p_Robbery,p_Snatching,p_Stalking,p_Theft,p_Theft by clerk,p_cheating,p_corruption,p_culpable homicide,p_domestic abuse,p_endangering safety of others,p_false property acquisuition-hurting public servant,p_grievous hurt,p_house-trespass,p_hurt by dangerous weapons,p_hurt by dangerous weapons-wrong restraint,p_mischief,p_murder,p_obstruction by a person,p_obstruction by a person-public nuisance,p_sexual harrasement,lat,lon
74,NEB SARAI,0,1,0,1,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,3,2,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,28.5193229,77.2128512
75,NEW FRIENDS COLONY,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.5674621,77.26913259999999
76,NEW USMANPUR,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,1,2,1,2,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,2,28.68183789999999,77.257894
77,NIHAL VIHAR,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,1,5,1,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28.6624624,77.0722759
78,NORTH AVENUE,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.90606349999999,-87.9488368
79,NORTH ROHINI,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,4,0,10,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28.7494716,77.0565333
80,OKHLA INDUSTRIAL AREA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5317061,77.27655659999999
81,PALAM VILLAGE,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5884993,77.0780316
82,PARLIAMENT STREET,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,3,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,2,29.5486735,-98.51007620000001
83,PASCHIM VIHAR,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,5,2,9,0,4,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,2,28.66866719999999,77.10194
84,PRASHANT VIHAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12,0,2,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,1,28.7157406,77.1351454
85,PUL PRAHLAD PUR,0,1,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,1,6,0,1,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,28.4993959,77.29183909999999
86,PUNJABI BAGH,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,1,2,3,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.66197529999999,77.1241557
87,R. K. PURAM,0,0,0,0,0,0,0,0,9,0,3,0,0,0,1,0,0,0,9,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.572018,77.176086
88,RAJOURI GARDEN,0,0,0,1,0,0,1,0,5,0,1,0,0,0,0,0,1,2,1,1,4,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,28.6415294,77.1209145
89,RANHOLA,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.65612849999999,77.0406828
90,RANI BAGH,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,10,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,28.6895479,77.1265842
91,ROOP NAGAR,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,28.6855831,77.2009932
92,SADAR BAZAR,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,1,1,1,2,0,10,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,28.6569553,77.2122028
93,SAFDARJUNG ENCLAVE,0,2,0,1,0,1,2,0,3,0,0,0,0,0,0,0,1,2,1,2,1,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.5632857,77.1911547
94,SAGAR PUR,0,0,0,1,0,1,0,0,13,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,31.0877068,75.63608370000001
95,SAKET,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,2,1,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.5245787,77.206615
96,SAMAIPUR BADLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,28.7417561,77.1448662
